"url","route","x","y"
"fb67ceee-0750-4aab-8781-3ae691bb6b27","","13.334571","10.551139"
"323eda80-3c8f-4575-9839-e5db98a3a5b9","D3D2.0","1.2725922","9.756247"
"cc49d807-c638-492f-a023-2845db3d7643","D2D2","6.674007","3.163451"
"1502e050-4ce3-4032-8fd1-4827da5200f4","","4.697138","3.5666485"
"f3f77b9e-eb04-45f8-bd93-28304e4b8005","D2D2","0.98204625","3.6220276"
"bfb203da-d235-4ee4-93f2-3e4b82b7f826","","8.143178","3.7968233"
"fc1385df-af43-4b57-8741-de1ee1ee9def","","6.413417","7.2578096"
"55572e84-7676-439f-8d66-5e80d65d9c61","D2D2","0.7877198","3.4515772"
"1ffd2663-cbf1-4ad1-b998-e3852bceae5b","","0.88928133","3.58346"
"69351114-8cb6-449d-9b04-f47dddad2c22","D2D2.0","0.8833808","3.5724802"
"3f5d95e9-5965-4b1c-bf7c-a924cd492b96","","4.8225026","3.583181"
"c3832272-74b0-44d1-a569-7b8ce49014d0","","3.3238466","5.1367483"
"c24d251c-97d7-4bf6-a4a3-941aa21de1c1","D2D1.0","0.4243011","3.1016462"
"cae0bdaf-43d7-4020-88f9-7988351cddc7","","6.022466","3.3270338"
"0b15eb2a-96d0-4652-8ddf-d64c30cdac6e","","0.61604947","3.271917"
"396dbc64-e340-4b57-9b5a-77debfbfc903","D2D1.0","0.6540738","3.305385"
"dfa60625-90e8-4a18-9779-bac3e24cdf24","D2D1.0","5.6837807","3.3897834"
"a649ede8-cec5-4514-849a-1a37f764e466","D2D2","0.6300224","3.307952"
"dc366979-4903-4f8a-aa2c-3d3523b69b31","D3D2.0","6.5569763","3.1811807"
"6babf5f5-5d18-4337-8e45-9edb80093eca","D2D1","5.5227785","3.4227746"
"3be6d845-d33e-4b82-afdf-b606470e9606","","0.601831","3.252099"
"bc920a67-547c-4e2c-b575-80da662e81c7","D3D1.0","0.73617435","3.388453"
"aed8d14d-322f-41ac-905c-9f6b3ff1a22a","D2D1.0","0.86189294","3.5568955"
"4018f5ba-e088-4c3c-9ea6-8bf2debeed47","","1.6372613","6.0466633"
"36e62d81-88af-4be7-942b-53906e115aed","D2D2","1.6173524","8.06741"
"042db071-34ef-4a51-8d65-40fa6824bf23","","4.23134","5.522254"
"020f5359-50a2-4ccb-a2a9-49b1ee0a92e1","","0.64593124","4.939443"
"4d1ec280-df20-40d4-afe3-1473c8af98f5","D2D1.0","0.39910737","3.057508"
"07577811-cead-4184-88ee-c688605cd46b","","0.9651055","3.6233027"
"4e7055e7-bc67-4cf8-b08a-0dec4c38bf23","","4.23134","5.522254"
"8a87208a-3b05-4bbb-83c2-64bfba31c336","","5.679152","3.3673441"
"f3633a8d-ac46-4f09-8ed8-4586377c2804","D2D2","2.0797894","4.0253553"
"d35104d5-e9d6-4403-8a11-3fba1f54122f","D2D2","0.49051535","8.76612"
"3b50267a-727f-4a21-9777-8f8ced3368d5","D3-D5","7.3610673","7.4676642"
"3368e74b-7f98-4886-9340-7f2347c0d184","D1D2","0.74046344","9.765149"
"61c4400c-490c-4774-9af9-49ac89742700","","1.3425889","5.7116566"
"174a5be5-551a-4d5c-83db-64224475183e","D2D1","0.7076268","3.3560135"
"8f9cff5d-eadb-491d-8d10-622d6ebdb546","","5.234384","7.847374"
"0be859ae-63f6-400a-bf78-8eef9dc24129","D2D2.0","0.5776781","3.2701564"
"7045219f-1e39-488a-8128-782ee90a9124","D2D2.0","0.80882454","3.4783347"
"7af9a4a6-6b3b-47b3-a520-0582812df34b","D3D3","3.1515527","2.0214925"
"ccc9d111-b706-4890-aeee-7aa5e55f6d9f","D2D1.0","0.5478021","3.2183135"
"8622484c-6e0d-4ba5-932f-e410515023f7","D3D2","14.887441","5.8633265"
